name,description,price_sek,product_url,image_url,reviews_count
IVÖSJÖN,"Cabinet with doors, green, 33x34x99 cm",249,https://www.ikea.com/se/en/p/ivoesjoen-cabinet-with-doors-green-30569095/,https://www.ikea.com/se/en/images/products/ivoesjoen-cabinet-with-doors-green__1383429_pe962557_s5.jpg?f=xxs,52
STOCKHOLM 2025,"2-seat sofa, Alhamn dark brown",8495,https://www.ikea.com/se/en/p/stockholm-2025-2-seat-sofa-alhamn-dark-brown-90591748/,https://www.ikea.com/se/en/images/products/stockholm-2025-2-seat-sofa-alhamn-dark-brown__1362730_pe955307_s5.jpg?f=xxs,0
VESKEN,"Trolley, white, 54x18x71 cm",99,https://www.ikea.com/se/en/p/vesken-trolley-white-00471222/,https://www.ikea.com/se/en/images/products/vesken-trolley-white__0832009_pe777548_s5.jpg?f=xxs,3654
IVÖSJÖN,"Mirror cabinet with 1 door, green, 44x15x59 cm",199,https://www.ikea.com/se/en/p/ivoesjoen-mirror-cabinet-with-1-door-green-10569096/,https://www.ikea.com/se/en/images/products/ivoesjoen-mirror-cabinet-with-1-door-green__1368211_pe957682_s5.jpg?f=xxs,34
GULLIVER,"Changing table, white",899,https://www.ikea.com/se/en/p/gulliver-changing-table-white-20307037/,https://www.ikea.com/se/en/images/products/gulliver-changing-table-white__0627301_pe693285_s5.jpg?f=xxs,313
MALM,"Chest of 6 drawers, white stained oak veneer, 160x78 cm",1995,https://www.ikea.com/se/en/p/malm-chest-of-6-drawers-white-stained-oak-veneer-90403587/,https://www.ikea.com/se/en/images/products/malm-chest-of-6-drawers-white-stained-oak-veneer__0484883_pe621346_s5.jpg?f=xxs,3606
FRIDHULT,"Sofa-bed, Skiftebo yellow",2995,https://www.ikea.com/se/en/p/fridhult-sofa-bed-skiftebo-yellow-00575446/,https://www.ikea.com/se/en/images/products/fridhult-sofa-bed-skiftebo-yellow__1265821_pe927821_s5.jpg?f=xxs,102
HAMMARN,"Sofa-bed, Knisa dark grey/black",1295,https://www.ikea.com/se/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,https://www.ikea.com/se/en/images/products/hammarn-sofa-bed-knisa-dark-grey-black__0519027_pe641353_s5.jpg?f=xxs,1029
FRIHETEN / KLAGSHAMN,"Corner sofa-bed with storage, Faringe light grey",7585,https://www.ikea.com/se/en/p/friheten-klagshamn-corner-sofa-bed-with-storage-faringe-light-grey-s49520235/,https://www.ikea.com/se/en/images/products/friheten-klagshamn-corner-sofa-bed-with-storage-faringe-light-grey__1360642_pe954542_s5.jpg?f=xxs,184
OMAR,"Shelving unit, galvanised, 60x25x40 cm",149,https://www.ikea.com/se/en/p/omar-shelving-unit-galvanised-30483073/,https://www.ikea.com/se/en/images/products/omar-shelving-unit-galvanised__0945020_pe797537_s5.jpg?f=xxs,183
VIHALS,"Storage unit, white, 105x37x140 cm",2495,https://www.ikea.com/se/en/p/vihals-storage-unit-white-90483268/,https://www.ikea.com/se/en/images/products/vihals-storage-unit-white__1038847_pe839901_s5.jpg?f=xxs,219
VIHALS,"Chest of 4 drawers, white/anchor/unlock-function, 70x47x90 cm",1495,https://www.ikea.com/se/en/p/vihals-chest-of-4-drawers-white-anchor-unlock-function-00483239/,https://www.ikea.com/se/en/images/products/vihals-chest-of-4-drawers-white-anchor-unlock-function__1112066_pe871088_s5.jpg?f=xxs,109
MALM,"Bed frame, high, w 2 storage boxes, white/Luröy, 140x200 cm",2995,https://www.ikea.com/se/en/p/malm-bed-frame-high-w-2-storage-boxes-white-luroey-s19175976/,https://www.ikea.com/se/en/images/products/malm-bed-frame-high-w-2-storage-boxes-white-luroey__1154393_pe886042_s5.jpg?f=xxs,797
STOCKHOLM 2025,"Pouffe, Alhamn beige",1995,https://www.ikea.com/se/en/p/stockholm-2025-pouffe-alhamn-beige-80586139/,https://www.ikea.com/se/en/images/products/stockholm-2025-pouffe-alhamn-beige__1362752_pe955320_s5.jpg?f=xxs,1
SUNDSÖ,"Cabinet, dark blue outdoor/indoor, 60x35x86 cm",795,https://www.ikea.com/se/en/p/sundsoe-cabinet-dark-blue-outdoor-indoor-80586243/,https://www.ikea.com/se/en/images/products/sundsoe-cabinet-dark-blue-outdoor-indoor__1350550_pe951714_s5.jpg?f=xxs,67
HOLMERUD,"Side table, oak effect, 80x31 cm",599,https://www.ikea.com/se/en/p/holmerud-side-table-oak-effect-40541421/,https://www.ikea.com/se/en/images/products/holmerud-side-table-oak-effect__1193662_pe901564_s5.jpg?f=xxs,219
