name,description,product_url,category_1,category_2,category_3,category_4,category_5
IVÖSJÖN,"Cabinet with doors, green, 33x34x99 cm",https://www.ikea.com/se/en/p/ivoesjoen-cabinet-with-doors-green-30569095/,Products,Bathroom products,Bathroom shelving units,,
STOCKHOLM 2025,"2-seat sofa, Alhamn dark brown",https://www.ikea.com/se/en/p/stockholm-2025-2-seat-sofa-alhamn-dark-brown-90591748/,Products,Sofas & armchairs,Sofas,Two-seat sofas,
VESKEN,"Trolley, white, 54x18x71 cm",https://www.ikea.com/se/en/p/vesken-trolley-white-00471222/,Products,Bathroom products,Bathroom trolleys,,
IVÖSJÖN,"Mirror cabinet with 1 door, green, 44x15x59 cm",https://www.ikea.com/se/en/p/ivoesjoen-mirror-cabinet-with-1-door-green-10569096/,Products,Bathroom products,Bathroom mirrors,Mirror cabinets,
GULLIVER,"Changing table, white",https://www.ikea.com/se/en/p/gulliver-changing-table-white-20307037/,Products,Baby & children,Baby,Nursery furniture,Changing tables
MALM,"Chest of 6 drawers, white stained oak veneer, 160x78 cm",https://www.ikea.com/se/en/p/malm-chest-of-6-drawers-white-stained-oak-veneer-90403587/,Products,Storage & organisation,Chests of drawers & drawer units,Chests of drawers,
FRIDHULT,"Sofa-bed, Skiftebo yellow",https://www.ikea.com/se/en/p/fridhult-sofa-bed-skiftebo-yellow-00575446/,Products,Sofas & armchairs,Sofa-beds,Two-seat sofa-beds,
HAMMARN,"Sofa-bed, Knisa dark grey/black",https://www.ikea.com/se/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,Products,Sofas & armchairs,Sofa-beds,Two-seat sofa-beds,
FRIHETEN / KLAGSHAMN,"Corner sofa-bed with storage, Faringe light grey",https://www.ikea.com/se/en/p/friheten-klagshamn-corner-sofa-bed-with-storage-faringe-light-grey-s49520235/,Products,Sofas & armchairs,Sofa-beds,Convertible sofa beds & futons,
OMAR,"Shelving unit, galvanised, 60x25x40 cm",https://www.ikea.com/se/en/p/omar-shelving-unit-galvanised-30483073/,Products,Storage & organisation,Storage solution systems,OMAR system,OMAR parts
